cluster_id,affiliation_variant,occurrence_count,sources,canonical_key,display_name,fingerprint_key,token_key,suggested_canonical,match_reason,priority,cluster_variant_count,cluster_total_occurrences,canonical_keys_differ,country_suffix_only,needs_review,confirmed_same,approved_canonical
C0337,KAUST,578,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,KAUST,KAUST,kaust,kaust,KAUST,token_key,low,2,688,False,True,True,,
C0337,"KAUST, Saudi Arabia",110,delegates; delegates_raw,KAUST,KAUST,kaust,kaust,KAUST,token_key,low,2,688,False,True,True,,
C0019,James Cook University,517,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; geocode_overrides; map_locations; speaker_profiles; speaker_profiles_cache; talks,James Cook University,James Cook University,james cook university,cook james university,James Cook University,token_key,low,5,617,False,True,True,,
C0019,"James Cook University, Australia",93,delegates; delegates_raw; geocode_cache,James Cook University,James Cook University,james cook university,cook james university,James Cook University,token_key,low,5,617,False,True,True,,
C0019,"James Cook University, Tonga",3,delegates; delegates_raw; geocode_cache,James Cook University,James Cook University,james cook university,cook james university,James Cook University,token_key,low,5,617,False,True,True,,
C0019,"James Cook University, Philippines",2,delegates; delegates_raw,James Cook University,James Cook University,james cook university,cook james university,James Cook University,token_key,low,5,617,False,True,True,,
C0019,"James Cook University, United States",2,delegates; delegates_raw,James Cook University,James Cook University,james cook university,cook james university,James Cook University,token_key,low,5,617,False,True,True,,
C0017,Australian Institute of Marine Science,464,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; geocode_overrides; map_locations; speaker_profiles; speaker_profiles_cache; talks,Australian Institute of Marine Science,Australian Institute of Marine Science,australian institute of marine science,australian institute marine science,Australian Institute of Marine Science,token_key,low,5,555,True,True,True,,
C0017,"Australian Institute of Marine Science, Australia",79,delegates; delegates_raw; geocode_cache,Australian Institute of Marine Science,Australian Institute of Marine Science,australian institute of marine science,australian institute marine science,Australian Institute of Marine Science,token_key,low,5,555,True,True,True,,
C0017,Australian Institute Of Marine Science,7,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache,Australian Institute of Marine Science,Australian Institute of Marine Science,australian institute of marine science,australian institute marine science,Australian Institute of Marine Science,token_key,low,5,555,True,True,True,,
C0017,"Australian Institute of Marine Science, United States",3,delegates; delegates_raw; geocode_cache,Australian Institute of Marine Science,Australian Institute of Marine Science,australian institute of marine science,australian institute marine science,Australian Institute of Marine Science,token_key,low,5,555,True,True,True,,
C0017,"Australian Institute Of Marine Science, Australia",2,delegates; delegates_raw,Australian Institute Of Marine Science,Australian Institute Of Marine Science,australian institute of marine science,australian institute marine science,Australian Institute of Marine Science,token_key,low,5,555,True,True,True,,
