organisation,country,affiliation,query_used,latitude,longitude,formatted_address,status,final
.,New Zealand,"., New Zealand","., New Zealand",,,New Zealand,IMPRECISE,null
ACIAR Coral Restoration Governance Project,Philippines,"ACIAR Coral Restoration Governance Project, Philippines","ACIAR Coral Restoration Governance Project, Philippines",,,Philippines,IMPRECISE,
Africa Ocean Alliance,Ghana,"Africa Ocean Alliance, Ghana","Africa Ocean Alliance, Ghana",,,Ghana,IMPRECISE,
American Samoa Community College & University of Hawaii,American Samoa,"American Samoa Community College & University of Hawaii, American Samoa","American Samoa Community College & University of Hawaii, American Samoa",-14.32195893,-170.7419421,"Hawaii, USA",IMPRECISE,American Samoa Community College
American Samoa Government,American Samoa,"American Samoa Government, American Samoa","American Samoa Government, American Samoa",,,American Samoa,IMPRECISE,
Australian Institute of Marine Science,United States,"Australian Institute of Marine Science, United States","Australian Institute of Marine Science, United States",,,United States,IMPRECISE,
Auxilia,Italy,"Auxilia, Italy","Auxilia, Italy",,,Italy,IMPRECISE,
Backpacker,United States,"Backpacker, United States","Backpacker, United States",,,United States,IMPRECISE,
Bangor University,Maldives,"Bangor University, Maldives","Bangor University, Maldives",,,Maldives,IMPRECISE,
Bermuda Institute of Ocean Sciences,New Caledonia,"Bermuda Institute of Ocean Sciences, New Caledonia","Bermuda Institute of Ocean Sciences, New Caledonia",,,New Caledonia,IMPRECISE,
Bloomberg Ocean Fund,United States,"Bloomberg Ocean Fund, United States","Bloomberg Ocean Fund, United States",,,United States,IMPRECISE,
Blue Alliance,Barbados,"Blue Alliance, Barbados","Blue Alliance, Barbados",,,Barbados,IMPRECISE,
Blue Alliance,Indonesia,"Blue Alliance, Indonesia","Blue Alliance, Indonesia",,,Indonesia,IMPRECISE,
Blue Alliance,"Tanzania, United Republic of","Blue Alliance, Tanzania, United Republic of","Blue Alliance, Tanzania, United Republic of",,,Tanzania,IMPRECISE,
Blue Prosperity Fiji,Fiji,"Blue Prosperity Fiji, Fiji","Blue Prosperity Fiji, Fiji",,,Fiji,IMPRECISE,
BRANCH Applications BV / Foundation,Netherlands,"BRANCH Applications BV / Foundation, Netherlands","BRANCH Applications BV / Foundation, Netherlands",,,Netherlands,IMPRECISE,
Brin,Indonesia,"Brin, Indonesia","Brin, Indonesia",,,Indonesia,IMPRECISE,
Bureau of Meteorology,Australia,"Bureau of Meteorology, Australia","Bureau of Meteorology, Australia",,,Australia,IMPRECISE,
Byoguides,Australia,"Byoguides, Australia","Byoguides, Australia",,,Australia,IMPRECISE,
California Academy of Sciences,Australia,"California Academy of Sciences, Australia","California Academy of Sciences, Australia",,,Australia,IMPRECISE,
California State University,United States,"California State University, United States","California State University, United States",33.78401077,-118.1140573,"California, USA",IMPRECISE,California State University Long Beach
Camphora Pte Ltd,Singapore,"Camphora Pte Ltd, Singapore","Camphora Pte Ltd, Singapore",,,Singapore,IMPRECISE,
Caraga State University / National Sun Yat-sen,Philippines,"Caraga State University / National Sun Yat-sen, Philippines","Caraga State University / National Sun Yat-sen, Philippines",8.957584622,125.5973941,"Caraga, Philippines",IMPRECISE,Caraga State University
Cefas,United Kingdom,"Cefas, United Kingdom","Cefas, United Kingdom",50.60535164,-2.4510336,United Kingdom,IMPRECISE,Cefas
Center for Marine and Environmental Studies,United States Virgin Islands,"Center for Marine and Environmental Studies, United States Virgin Islands","Center for Marine and Environmental Studies, United States Virgin Islands",,,U.S. Virgin Islands,IMPRECISE,
Central Provincial Administrations,Papua New Guinea,"Central Provincial Administrations, Papua New Guinea","Central Provincial Administrations, Papua New Guinea",,,"Central Province, Papua New Guinea",IMPRECISE,
Citizens of the Reef,Australia,"Citizens of the Reef, Australia","Citizens of the Reef, Australia",,,Australia,IMPRECISE,
Citizens of the Sea,New Zealand,"Citizens of the Sea, New Zealand","Citizens of the Sea, New Zealand",,,New Zealand,IMPRECISE,
CMOANA Consulting,French Polynesia,"CMOANA Consulting, French Polynesia","CMOANA Consulting, French Polynesia",,,French Polynesia,IMPRECISE,
CNRS,France,"CNRS, France","CNRS, France",,,France,IMPRECISE,
CNRS,French Polynesia,"CNRS, French Polynesia","CNRS, French Polynesia",,,French Polynesia,IMPRECISE,
Coastal and Marine Resource Development,Kenya,"Coastal and Marine Resource Development, Kenya","Coastal and Marine Resource Development, Kenya",,,Kenya,IMPRECISE,
Commonwealth Scientific and Industrial Research,Australia,"Commonwealth Scientific and Industrial Research, Australia","Commonwealth Scientific and Industrial Research, Australia",,,Australia,IMPRECISE,
Cooperative Institute of Marine and Atmospheric,United States,"Cooperative Institute of Marine and Atmospheric, United States","Cooperative Institute of Marine and Atmospheric, United States",,,United States,IMPRECISE,
Coral Reef Advisory Group,American Samoa,"Coral Reef Advisory Group, American Samoa","Coral Reef Advisory Group, American Samoa",,,American Samoa,IMPRECISE,
Coral Reef Alliance,Honduras,"Coral Reef Alliance, Honduras","Coral Reef Alliance, Honduras",,,Honduras,IMPRECISE,
Coral Reef Alliance,Mexico,"Coral Reef Alliance, Mexico","Coral Reef Alliance, Mexico",,,Mexico,IMPRECISE,
Coral Reef Conservation Program,United States,"Coral Reef Conservation Program, United States","Coral Reef Conservation Program, United States",,,United States,IMPRECISE,
Coral Reef Conservation Restoration Network,Philippines,"Coral Reef Conservation Restoration Network, Philippines","Coral Reef Conservation Restoration Network, Philippines",,,Philippines,IMPRECISE,
Coral Reef Consulting,American Samoa,"Coral Reef Consulting, American Samoa","Coral Reef Consulting, American Samoa",,,American Samoa,IMPRECISE,
Coral Reef Initiative,Northern Mariana Islands,"Coral Reef Initiative, Northern Mariana Islands","Coral Reef Initiative, Northern Mariana Islands",,,Northern Mariana Islands,IMPRECISE,
Coral Reef Watch,Australia,"Coral Reef Watch, Australia","Coral Reef Watch, Australia",,,Australia,IMPRECISE,
Coral Reef Watch,United States,"Coral Reef Watch, United States","Coral Reef Watch, United States",,,United States,IMPRECISE,
Coral Restoration Consortium,Sint Maarten,"Coral Restoration Consortium, Sint Maarten","Coral Restoration Consortium, Sint Maarten",,,Sint Maarten,IMPRECISE,
Coral Restoration Consortium,United States,"Coral Restoration Consortium, United States","Coral Restoration Consortium, United States",,,United States,IMPRECISE,
