full_name,organisation,notes
Adahara Muñoz-alfaro,Universidad Autonoma de Baja California Sur,Universidad Autónoma de Baja California Sur
Alyssa Varela,Hawaii institute of Marine Biology,Hawaiʻi institute of Marine Biology
Amanda Melendez-perez,University of Puerto Rico at Mayaguez,University of Puerto Rico at Mayagüez
Ashley Carreiro,University of Hawai'i - Mānoa,University of Hawaiʻi - Mānoa
Bernhard Riegl Jr.,James Cook University,James Cook University Cynthia Riginos Australian Institute of Marine Science
Bill Thomas,Olohana Foundation,Olohana Foundation Bailey Thomasson Coral Restoration Foundation Virgin Islands (U.S.)
Brian Neilson,Joseph Nekaifes Johnston Applied Marine Sciences Northern Mariana Islands,State of Hawai'i Joseph Nekaifes Johnston Applied Marine Sciences Northern Mariana Islands
Brianna Bambic,Criobe Moorea,Resource and Ecosystem Management Tamatoa Bambridge National Center for Scientific Research - Rāhui Center
Caitlin Younis,University of Technology Sydney,University of Technology Sydney Ana Yranzo Duque Instituto de Zoología y Ecología Tropical Venezuela
Carmine Lee,National University of Singapore,National University of Singapore Gaby Lee Catholic University of Korea South Korea Prof Jeong-Hyun Lee Chungnam National
Damien Carrasquet,Universite de la Polynesie Francaise,Université de la Polynésie Française
Dr Alain Duran,Florida International University,Florida International University Allie Durdall University of the Virgin Islands Virgin Islands (U.S.) Nicholas Durgadeen
Dr Catherine Kim,Queensland University of Technology,Queensland University of Technology Jaehyeon Kim KIOST South Korea
Dr Danielle Jayewardene,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration Christina Jayne State of Hawai'i
Dr David Armstrong,Texas A&M University,Texas A&M University - Corpus Christi Bradley Arrington University of the Virgin Islands Virgin Islands (U.S.)
Dr Dor Shefy,Israel Oceanographic and Limnological Research,Israel Oceanographic and Limnological Research Adeline Shelby University of the Virgin Islands Virgin Islands (U.S.)
Dr Dustin Kemp,University of Alabama at Birmingham,University of Alabama - Birmingham Prof Paul Kench University of Waikato
Dr Holland Elder,Australian Institute of Marine Science,Australian Institute of Marine Science Simon Ellis Marine and Environmental Research Institute Of Micronesia (the Pohnpe
Dr Ifenna Ilechukwu,University of Dar Es Salaam,"Molecular Invertebrate Systematics & Ecology Laboratory Dr Ophery Ilomo University of Dar Es Salaam Tanzania, United Rep"
Dr Immy Ashley,University of Hawai'i - Mānoa,University of California - Los Angeles Dr Greg Asner Global Discovery and Conservation Science
Dr John Parkinson,University of South Florida,University of South Florida Spencer Parr University of the Virgin Islands Virgin Islands (U.S.)
Dr Julia Cole,University of Michigan,University of Michigan - Ann Arbor Gillian Coleman University of the Virgin Islands Virgin Islands (U.S.)
Dr Julian Lilkendey,KIOST South Korea,Leibniz Centre for Tropical Marine Research Dr Jae Kyu Lim KIOST South Korea
Dr Lyndsey Holland,University of the Virgin Islands Virgin Islands (U.S.),Department of Conservation - New Zealand Erin Hollander University of the Virgin Islands Virgin Islands (U.S.)
Dr Margarita Brandt,University of the Virgin Islands Virgin Islands (U.S.),Universidad San Francisco de Quito Dr Marilyn Brandt University of the Virgin Islands Virgin Islands (U.S.)
Dr Mark Meekan,University of the Virgin Islands Virgin Islands (U.S.),University of Western Australia Sonora Meiling University of the Virgin Islands Virgin Islands (U.S.)
Dr Mark Warner,Coral Reef Initiative Northern Mariana Islands,University of Delaware Bailey Warren Coral Reef Initiative Northern Mariana Islands
Dr Mykle Hoban,Johnston Applied Marine Sciences Northern Mariana Islands,Hawai‘i Institute of Marine Biology Alyssa Hobbs Johnston Applied Marine Sciences Northern Mariana Islands
Dr Pramod Chumun,KIOST South Korea,United Nations Development Programme - Mauritius & Seychelles Jaeseok Chung KIOST South Korea
Dr Robin Smith,University of the Virgin Islands Virgin Islands (U.S.),Arizona State University Dr Tyler Smith University of the Virgin Islands Virgin Islands (U.S.)
Dr Sara Swaminathan,University of the Virgin Islands Virgin Islands (U.S.),Bigelow Laboratory for Ocean Sciences Ally Swan University of the Virgin Islands Virgin Islands (U.S.)
Dr Sun Kim,KIOST South Korea,University of Queensland Dr Taihun Kim KIOST South Korea
Dr Thiago Mendes,Conservation Society of Pohnpei Micronesia (the Federated States of),Projeto Costão Rochoso Jasmine Mendiola Conservation Society of Pohnpei Micronesia (the Federated States of)
Dr Wichin Suebpala,KAUST,Ramkhamhaeng University David Suggett KAUST
Emily Croasdale,"The Nature Conservancy Venezuela, Bolivarian Republic of","University of Lisbon Dr Aldo Croquer The Nature Conservancy Venezuela, Bolivarian Republic of"
Enora Carnac,University of Liege,University of Liège
Erin Bowman,The Nature Conservancy Micronesia (the Federated States of),Backpacker Marissa Boylan The Nature Conservancy Micronesia (the Federated States of)
