first_name,last_name,organisation,country,full_name,affiliation,country_code,norm_name,is_speaker
Tiela,,World Wildlife Fund - Indonesia,Indonesia,Tiela,"World Wildlife Fund - Indonesia, Indonesia",ID,tiela,False
Dr Evelyn,Abbott,University of Konstanz,Germany,Dr Evelyn Abbott,"University of Konstanz, Germany",DE,evelyn abbott,True
Hamzah,Abdel-majid,Zoological Society of London,Egypt,Hamzah Abdel-majid,"Zoological Society of London, Egypt",EG,hamzah abdel majid,True
Taufik,Abdillah,World Wide Fund for Nature - Indonesia,Indonesia,Taufik Abdillah,"World Wide Fund for Nature - Indonesia, Indonesia",ID,taufik abdillah,True
Dr Nur Ain Amani,Abdul Mubin,Universiti Sains Malaysia,Malaysia,Dr Nur Ain Amani Abdul Mubin,"Universiti Sains Malaysia, Malaysia",MY,nur ain amani abdul mubin,True
Dr Muhammad,Abdul Wahab,Australian Institute of Marine Science,Australia,Dr Muhammad Abdul Wahab,"Australian Institute of Marine Science, Australia",AU,muhammad abdul wahab,True
Najat,Abdullah,International Islamic University Malaysia,Malaysia,Najat Abdullah,"International Islamic University Malaysia, Malaysia",MY,najat abdullah,True
Haruna,Abe,Kitasato University,Japan,Haruna Abe,"Kitasato University, Japan",JP,haruna abe,True
Yuko,Abe,University of the Ryukyus,Japan,Yuko Abe,"University of the Ryukyus, Japan",JP,yuko abe,True
Swaleh,Aboud,General Organization for Conservation of Coral Reef in the Red Sea,Saudi Arabia,Swaleh Aboud,"General Organization for Conservation of Coral Reef in the Red Sea, Saudi Arabia",SA,swaleh aboud,True
Liam,Abrams,Nova Southeastern University,United States,Liam Abrams,"Nova Southeastern University, United States",US,liam abrams,True
Prof Renoir,Abrea,Mindanao State University - Naawan,Philippines,Prof Renoir Abrea,"Mindanao State University - Naawan, Philippines",PH,renoir abrea,True
Dr David,Abrego,Australian Museum,Australia,Dr David Abrego,"Australian Museum, Australia",AU,david abrego,True
Mariana,Acipreste,University of São Paulo,Brazil,Mariana Acipreste,"University of São Paulo, Brazil",BR,mariana acipreste,True
Hayden,Acors,Florida International University,United States,Hayden Acors,"Florida International University, United States",US,hayden acors,True
Abdul,Ada,Louisiana State University,United States,Abdul Ada,"Louisiana State University, United States",US,abdul ada,True
Dr Arne,Adam,University Of Queensland,Australia,Dr Arne Adam,"University Of Queensland, Australia",AU,arne adam,True
Mathieu,Adgé,CRIOBE,French Polynesia,Mathieu Adgé,"CRIOBE, French Polynesia",PF,mathieu adg,True
Che,Adlawan,"Rethinking, Rebuilding, Regenerating Coral Reefs",Philippines,Che Adlawan,"Rethinking, Rebuilding, Regenerating Coral Reefs, Philippines",PH,che adlawan,True
Zaidy,Nisa,University Of The South Pacific,Fiji,Zaidy Nisa,"University Of The South Pacific, Fiji",FJ,zaidy nisa,False
Dr Mariyam Shidha,Afzal,University Of The Ryukyus,Maldives,Dr Mariyam Shidha Afzal,"University Of The Ryukyus, Maldives",MV,mariyam shidha afzal,True
Marisa,Agarwal,Scripps Institution of Oceanography,United States,Marisa Agarwal,"Scripps Institution of Oceanography, United States",US,marisa agarwal,True
Arianna,Agostini,University of California - Santa Cruz,United States,Arianna Agostini,"University of California - Santa Cruz, United States",US,arianna agostini,False
Astri,Agustina,PT Pupuk Kalimantan Timur,Indonesia,Astri Agustina,"PT Pupuk Kalimantan Timur, Indonesia",ID,astri agustina,True
Siska,Agustina,Yayasan Konservasi Alam Nusantara,Indonesia,Siska Agustina,"Yayasan Konservasi Alam Nusantara, Indonesia",ID,siska agustina,True
Awaludinnoer,Ahmad,Yayasan Konservasi Alam Nusantara,Indonesia,Awaludinnoer Ahmad,"Yayasan Konservasi Alam Nusantara, Indonesia",ID,awaludinnoer ahmad,True
Dr Tracy,Ainsworth,University of New South Wales - Sydney,Australia,Dr Tracy Ainsworth,"University of New South Wales - Sydney, Australia",AU,tracy ainsworth,True
Nour Alhoda,Akel,Tel Aviv University,Israel,Nour Alhoda Akel,"Tel Aviv University, Israel",IL,nour alhoda akel,True
Dr Anela,Akiona,University of California - San Diego,United States,Dr Anela Akiona,"University of California - San Diego, United States",US,anela akiona,True
Ali,Alabyadh,KAUST,Saudi Arabia,Ali Alabyadh,"KAUST, Saudi Arabia",SA,ali alabyadh,True
Wajd,Alaidrous,NEOM Nature Reserve,Saudi Arabia,Wajd Alaidrous,"NEOM Nature Reserve, Saudi Arabia",SA,wajd alaidrous,True
Dr Rebecca,Albright,California Academy of Sciences,United States,Dr Rebecca Albright,"California Academy of Sciences, United States",US,rebecca albright,False
Dr Cinzia,Alessi,Palau International Coral Reef Center,Palau,Dr Cinzia Alessi,"Palau International Coral Reef Center, Palau",PW,cinzia alessi,True
Rasheeda,Alexander,National Oceanic and Atmospheric Administration,United States,Rasheeda Alexander,"National Oceanic and Atmospheric Administration, United States",US,rasheeda alexander,True
Stuart,Alexander,Great Barrier Reef Safaris,Australia,Stuart Alexander,"Great Barrier Reef Safaris, Australia",AU,stuart alexander,True
Dr Hannah,Allan,Australian Institute of Marine Science,Australia,Dr Hannah Allan,"Australian Institute of Marine Science, Australia",AU,hannah allan,True
McKenna,Allen,Division of Aquatic Resources - Kauaʻi,United States,McKenna Allen,"Division of Aquatic Resources - Kauaʻi, United States",US,mckenna allen,True
Melissa,Allen (Sante),Mote Marine Laboratory,United States,Melissa Allen (Sante),"Mote Marine Laboratory, United States",US,melissa allen sante,True
Dr Jacob,Allgeier,University of Michigan,United States,Dr Jacob Allgeier,"University of Michigan, United States",US,jacob allgeier,True
Khatija,Alliji,Lancaster University,United Kingdom,Khatija Alliji,"Lancaster University, United Kingdom",GB,khatija alliji,True
Shay,Almagor,Tel Aviv University,Israel,Shay Almagor,"Tel Aviv University, Israel",IL,shay almagor,True
Dr Afrah,Alothman,National Center for Wildlife,Saudi Arabia,Dr Afrah Alothman,"National Center for Wildlife, Saudi Arabia",SA,afrah alothman,True
Ahmed,Alsaggaf,KAUST,Saudi Arabia,Ahmed Alsaggaf,"KAUST, Saudi Arabia",SA,ahmed alsaggaf,True
Prof Andrew,Altieri,University of Florida,United States,Prof Andrew Altieri,"University of Florida, United States",US,andrew altieri,True
Dr Noam,Altman-Kurosaki,Smithsonian Institution,United States,Dr Noam Altman-Kurosaki,"Smithsonian Institution, United States",US,noam altman kurosaki,True
Dr Michelle,Amario,University of São Paulo,Brazil,Dr Michelle Amario,"University of São Paulo, Brazil",BR,michelle amario,True
Prof Shady,Amin,New York University - Abu Dhabi,United Arab Emirates,Prof Shady Amin,"New York University - Abu Dhabi, United Arab Emirates",AE,shady amin,False
Hana,Amir,Bangor University,Maldives,Hana Amir,"Bangor University, Maldives",MV,hana amir,True
Maria,Andersen,University of Guam,United States,Maria Andersen,"University of Guam, United States",US,maria andersen,True
Craig,Anderson,Boxfish Robotics,New Zealand,Craig Anderson,"Boxfish Robotics, New Zealand",NZ,craig anderson,True
Dr David,Anderson,University of Hawai'i,United States,Dr David Anderson,"University of Hawai'i, United States",US,david anderson,True
Kelley,Anderson Tagarino,American Samoa Community College & University of Hawaii,American Samoa,Kelley Anderson Tagarino,"American Samoa Community College & University of Hawaii, American Samoa",AS,kelley anderson tagarino,True
Madison,Androne,Nova Southeastern University,United States,Madison Androne,"Nova Southeastern University, United States",US,madison androne,True
Maria,Angst,Division of Aquatic Resources - Hawai'i,United States,Maria Angst,"Division of Aquatic Resources - Hawai'i, United States",US,maria angst,True
Gouri,A.,Louisiana State University,United States,Gouri A.,"Louisiana State University, United States",US,gouri a,True
Colin,Anthony,University of Tokyo,Japan,Colin Anthony,"University of Tokyo, Japan",JP,colin anthony,True
Dr Amy,Apprill,Woods Hole Oceanographic Institution,United States,Dr Amy Apprill,"Woods Hole Oceanographic Institution, United States",US,amy apprill,True
Aurélie,Aqua,CRIOBE,French Polynesia,Aurélie Aqua,"CRIOBE, French Polynesia",PF,aur lie aqua,True
Prof Manuel,Aranda,KAUST,Saudi Arabia,Prof Manuel Aranda,"KAUST, Saudi Arabia",SA,manuel aranda,True
Henry,Arbaugh,University of San Diego,United States,Henry Arbaugh,"University of San Diego, United States",US,henry arbaugh,True
Ernest Raphael,Arceo,University of the Philippines - Diliman,Philippines,Ernest Raphael Arceo,"University of the Philippines - Diliman, Philippines",PH,ernest raphael arceo,True
Dan,Arencibia,Malama Maunalua,United States,Dan Arencibia,"Malama Maunalua, United States",US,dan arencibia,False
Zoe,Ariellius,University of Guam,Guam,Zoe Ariellius,"University of Guam, Guam",GU,zoe ariellius,True
Muhammad,Aris,Yayasan Konservasi Alam Nusantara,Indonesia,Muhammad Aris,"Yayasan Konservasi Alam Nusantara, Indonesia",ID,muhammad aris,True
Dr William,Arlidge,James Cook University,Australia,Dr William Arlidge,"James Cook University, Australia",AU,william arlidge,True
Dr David,Armstrong,Texas A&M University - Corpus Christi,United States,Dr David Armstrong,"Texas A&M University - Corpus Christi, United States",US,david armstrong,True
Bradley,Arrington,University of the Virgin Islands,United States Virgin Islands,Bradley Arrington,"University of the Virgin Islands, United States Virgin Islands",VI,bradley arrington,True
Ariella,Arzey,University of Wollongong,Australia,Ariella Arzey,"University of Wollongong, Australia",AU,ariella arzey,True
Mollie,Asbury,National Geographic Society Pristine Seas,United States,Mollie Asbury,"National Geographic Society Pristine Seas, United States",US,mollie asbury,True
Dr Jacob,Asher,KAUST,Saudi Arabia,Dr Jacob Asher,"KAUST, Saudi Arabia",SA,jacob asher,True
Dr Jill,Ashey,University of Pennsylvania,United States,Dr Jill Ashey,"University of Pennsylvania, United States",US,jill ashey,True
Dr Immy,Ashley,University of California - Los Angeles,United States,Dr Immy Ashley,"University of California - Los Angeles, United States",US,immy ashley,True
Dr Greg,Asner,Global Discovery and Conservation Science,United States,Dr Greg Asner,"Global Discovery and Conservation Science, United States",US,greg asner,True
Irlan,Assidiq,Rare - Indonesia,Indonesia,Irlan Assidiq,"Rare - Indonesia, Indonesia",ID,irlan assidiq,True
Dr Michael,Atrigenio,University of the Philippines - Diliman,Philippines,Dr Michael Atrigenio,"University of the Philippines - Diliman, Philippines",PH,michael atrigenio,False
Wiphawan,Aunkhongthong,Ramkhamhaeng University,Thailand,Wiphawan Aunkhongthong,"Ramkhamhaeng University, Thailand",TH,wiphawan aunkhongthong,True
Angel,Avedo,Florida International University,United States,Angel Avedo,"Florida International University, United States",US,angel avedo,True
Dr Camile,Avelino,University of Derby,United Kingdom,Dr Camile Avelino,"University of Derby, United Kingdom",GB,camile avelino,True
Abbas,Baadilla,Luminocean,Indonesia,Abbas Baadilla,"Luminocean, Indonesia",ID,abbas baadilla,True
Suraj,Bacha Gian,Eco Marine Consultants Ltd,Mauritius,Suraj Bacha Gian,"Eco Marine Consultants Ltd, Mauritius",MU,suraj bacha gian,True
Dr Vadim,Backman,Northwestern University,United States,Dr Vadim Backman,"Northwestern University, United States",US,vadim backman,False
Amanda,Badai,University of the Virgin Islands,United States,Amanda Badai,"University of the Virgin Islands, United States",US,amanda badai,True
Gina,Badlowski,Florida International University,United States,Gina Badlowski,"Florida International University, United States",US,gina badlowski,True
Antoni,Badowski,University of Guam,Guam,Antoni Badowski,"University of Guam, Guam",GU,antoni badowski,True
Dr Susanne,Bähr,California Academy of Sciences,United States,Dr Susanne Bähr,"California Academy of Sciences, United States",US,susanne b hr,True
Dr Kevin,Novak,Australian Institute of Marine Science,Australia,Dr Kevin Novak,"Australian Institute of Marine Science, Australia",AU,kevin novak,True
Misbakhul,Bait,PT Pupuk Kalimantan Timur,Indonesia,Misbakhul Bait,"PT Pupuk Kalimantan Timur, Indonesia",ID,misbakhul bait,False
Prof Andrew,Baker,University of Miami,United States,Prof Andrew Baker,"University of Miami, United States",US,andrew baker,True
Prof David,Baker,University of Hong Kong,Hong Kong,Prof David Baker,"University of Hong Kong, Hong Kong",HK,david baker,True
Adhithi,Balaji,University of Auckland,New Zealand,Adhithi Balaji,"University of Auckland, New Zealand",NZ,adhithi balaji,True
Alice,Ball,University of Cambridge,United Kingdom,Alice Ball,"University of Cambridge, United Kingdom",GB,alice ball,True
Stephanie,Ball,Nova Southeastern University,United States,Stephanie Ball,"Nova Southeastern University, United States",US,stephanie ball,True
Michelle,Ballesteros,University of the Philippines - Diliman,Philippines,Michelle Ballesteros,"University of the Philippines - Diliman, Philippines",PH,michelle ballesteros,True
Marcie,Bamber,Victoria University of Wellington,United Kingdom,Marcie Bamber,"Victoria University of Wellington, United Kingdom",GB,marcie bamber,False
Brianna,Bambic,Resource and Ecosystem Management,United States,Brianna Bambic,"Resource and Ecosystem Management, United States",US,brianna bambic,True
Tamatoa,Bambridge,National Center for Scientific Research - Rāhui Center,French Polynesia,Tamatoa Bambridge,"National Center for Scientific Research - Rāhui Center, French Polynesia",PF,tamatoa bambridge,True
Somok,Banerjee,Arizona State University,United States,Somok Banerjee,"Arizona State University, United States",US,somok banerjee,True
Dr Raymond,Banister,University of Alabama,United States,Dr Raymond Banister,"University of Alabama, United States",US,raymond banister,True
JD,Banogon,University of the Philippines - Diliman,Philippines,JD Banogon,"University of the Philippines - Diliman, Philippines",PH,jd banogon,False
Dr Sarina,Bao,University of Tokyo,Japan,Dr Sarina Bao,"University of Tokyo, Japan",JP,sarina bao,True
Michelle,Baptist,Ocean Rescue Alliance International,United States,Michelle Baptist,"Ocean Rescue Alliance International, United States",US,michelle baptist,True
Teresa,Baptista Nobre,University of Western Australia,Australia,Teresa Baptista Nobre,"University of Western Australia, Australia",AU,teresa baptista nobre,True
Ethel,Baquiran,Marine Environment and Resources Foundation,Philippines,Ethel Baquiran,"Marine Environment and Resources Foundation, Philippines",PH,ethel baquiran,True
Jake Ivan P.,Baquiran,University of the Ryukyus,Japan,Jake Ivan P. Baquiran,"University of the Ryukyus, Japan",JP,jake ivan p baquiran,True
Christine,Baran,University of the Philippines,Philippines,Christine Baran,"University of the Philippines, Philippines",PH,christine baran,True
Dr Marcos,Barbeitos,Federal University of Paraná,Brazil,Dr Marcos Barbeitos,"Federal University of Paraná, Brazil",BR,marcos barbeitos,True
Dr Van,Rodriguez,University of the Philippines - Diliman,Philippines,Dr Van Rodriguez,"University of the Philippines - Diliman, Philippines",PH,van rodriguez,False
Leah,Barkai,University of Hawai'i - Mānoa,United States,Leah Barkai,"University of Hawai'i - Mānoa, United States",US,leah barkai,True
Triona,Barker,University of Derby,United Kingdom,Triona Barker,"University of Derby, United Kingdom",GB,triona barker,True
Danielle,Barnas,University of Hawai'i - Mānoa,United States,Danielle Barnas,"University of Hawai'i - Mānoa, United States",US,danielle barnas,True
Marichelle,Barolo,University of the Philippines - Diliman,Philippines,Marichelle Barolo,"University of the Philippines - Diliman, Philippines",PH,marichelle barolo,True
Dr Katie,Barott,University of Pennsylvania,United States,Dr Katie Barott,"University of Pennsylvania, United States",US,katie barott,True
Federica,Barreca,King Abdullah University of Science and Technology,Saudi Arabia,Federica Barreca,"King Abdullah University of Science and Technology, Saudi Arabia",SA,federica barreca,True
William,Barriera,Florida International University,United States,William Barriera,"Florida International University, United States",US,william barriera,True
Prof Dan,Barshis,Old Dominion University,United States,Prof Dan Barshis,"Old Dominion University, United States",US,dan barshis,True
Isabelle,Basden,Ohio State University,United States,Isabelle Basden,"Ohio State University, United States",US,isabelle basden,True
Moriah,Sevier,University of the Virgin Islands,United States Virgin Islands,Moriah Sevier,"University of the Virgin Islands, United States Virgin Islands",VI,moriah sevier,False
Dr Tahlia,Bassett,Western Australian Museum,Australia,Dr Tahlia Bassett,"Western Australian Museum, Australia",AU,tahlia bassett,False
José,Bastos,Universidade Federal do Rio Grande do Norte,Brazil,José Bastos,"Universidade Federal do Rio Grande do Norte, Brazil",BR,jos bastos,True
Kinisimere,Batibasaga,Wildlife Conservation Society,Fiji,Kinisimere Batibasaga,"Wildlife Conservation Society, Fiji",FJ,kinisimere batibasaga,False
Yabanex,Batista,United Nations Capital Development Funds,Switzerland,Yabanex Batista,"United Nations Capital Development Funds, Switzerland",CH,yabanex batista,True
Adele,Battini,University of the Ryukyus,Japan,Adele Battini,"University of the Ryukyus, Japan",JP,adele battini,True
Katharina,Bauda,Instituto Tecnológico de Bahía de Banderas,Mexico,Katharina Bauda,"Instituto Tecnológico de Bahía de Banderas, Mexico",MX,katharina bauda,True
Julia,Baum,University of Victoria,Canada,Julia Baum,"University of Victoria, Canada",CA,julia baum,True
Prof Iliana,Baums,Helmholtz Institute for Functional Marine Biodiversity,Germany,Prof Iliana Baums,"Helmholtz Institute for Functional Marine Biodiversity, Germany",DE,iliana baums,True
Valentina,Bautista,Florida International University,United States,Valentina Bautista,"Florida International University, United States",US,valentina bautista,True
Dr Line,Bay,Australian Institute of Marine Science,Australia,Dr Line Bay,"Australian Institute of Marine Science, Australia",AU,line bay,True
Dr Rachael,Bay,University of California - Davis,United States,Dr Rachael Bay,"University of California - Davis, United States",US,rachael bay,True
Sharad,Bayyana,University of Queensland,Australia,Sharad Bayyana,"University of Queensland, Australia",AU,sharad bayyana,True
Nina,Bean,Florida International University,United States,Nina Bean,"Florida International University, United States",US,nina bean,True
Dr Brian,Beck,National Oceanic and Atmospheric Administration,United States,Dr Brian Beck,"National Oceanic and Atmospheric Administration, United States",US,brian beck,True
Dr Cynthia,Becker,Woods Hole Oceanographic Institution,United States,Dr Cynthia Becker,"Woods Hole Oceanographic Institution, United States",US,cynthia becker,False
Nika,Becker,CNRS/UPVD,France,Nika Becker,"CNRS/UPVD, France",FR,nika becker,False
Maya,Becker,Nova Southeastern University,United States,Maya Becker,"Nova Southeastern University, United States",US,maya becker,True
Teresa,Bednarek,University of Western Australia,Australia,Teresa Bednarek,"University of Western Australia, Australia",AU,teresa bednarek,True
A/Prof Roger,Beeden,Great Barrier Reef Marine Park Authority,Australia,A/Prof Roger Beeden,"Great Barrier Reef Marine Park Authority, Australia",AU,a prof roger beeden,True
Laura,Beenham,KAUST,Saudi Arabia,Laura Beenham,"KAUST, Saudi Arabia",SA,laura beenham,True
Dr Chelsey,Beese,Victoria University of Wellington,New Zealand,Dr Chelsey Beese,"Victoria University of Wellington, New Zealand",NZ,chelsey beese,True
Prof Maria,Beger,University of Leeds,United Kingdom,Prof Maria Beger,"University of Leeds, United Kingdom",GB,maria beger,True
Prof James,Bell,Victoria University of Wellington,New Zealand,Prof James Bell,"Victoria University of Wellington, New Zealand",NZ,james bell,True
Sydney,Bell,James Cook University,Australia,Sydney Bell,"James Cook University, Australia",AU,sydney bell,True
Dr Anthony,Bellantuono,University of California - Los Angeles,United States,Dr Anthony Bellantuono,"University of California - Los Angeles, United States",US,anthony bellantuono,True
Dr Diana,Beltran Rodriguez,University of Rhode Island,United States,Dr Diana Beltran Rodriguez,"University of Rhode Island, United States",US,diana beltran rodriguez,True
Noa,Ben-ami,Tel Aviv University,Israel,Noa Ben-ami,"Tel Aviv University, Israel",IL,noa ben ami,True
Dr Mariana,Bender,Federal University of Santa Maria,Brazil,Dr Mariana Bender,"Federal University of Santa Maria, Brazil",BR,mariana bender,True
Cecilie,Benjamin,Mahonia Na Dari,Papua New Guinea,Cecilie Benjamin,"Mahonia Na Dari, Papua New Guinea",PG,cecilie benjamin,False
Matthew-James,Bennett,MARE,Portugal,Matthew-James Bennett,"MARE, Portugal",PT,matthew james bennett,True
