affiliation_key,canonical_affiliation,organisation,country,country_code,geocode_status,latitude,longitude,geocode_source,variant_count,attendee_count,in_delegate_list,in_programme,sources,name_variants,needs_review,review_reason,primary_organisation,secondary_organisation,redirect_to_affiliation_key,plot_on_map
icrs-a-00001,.,.,New Zealand,NZ,fallback,-41.2865,174.7762,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"., New Zealand",False,,.,,,True
icrs-a-00002,A*STAR Institute of High Performance Computing,A*STAR Institute of High Performance Computing,Singapore,SG,ok,1.2984608,103.787255,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"A*STAR Institute of High Performance Computing, Singapore",False,,A*STAR Institute of High Performance Computing,,,True
icrs-a-00003,"A*Star-Agency for Science, Technology and Research","A*Star-Agency for Science, Technology and Research",Singapore,SG,ok,1.2983903,103.7886641,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"A*Star-Agency for Science, Technology and Research, Singapore",False,,"A*Star-Agency for Science, Technology and Research",,,True
icrs-a-00004,Academia Sinica,"Academia Sinica, Taiwan",Taiwan,TW,ok,25.0422388,121.6161527,geocode_csv,2,6,True,True,delegate_list;display_alias;geocode_csv;programme,"Academia Sinica; Academia Sinica, Taiwan",False,,"Academia Sinica, Taiwan",,,True
icrs-a-00005,ACIAR Coral Restoration Governance Project,ACIAR Coral Restoration Governance Project,Philippines,PH,fallback,14.5995,120.9842,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"ACIAR Coral Restoration Governance Project, Philippines",False,,ACIAR Coral Restoration Governance Project,,,True
icrs-a-00006,Adam Mickiewicz University,Adam Mickiewicz University,Poland,PL,ok,52.4083974,16.915402,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Adam Mickiewicz University, Poland",False,,Adam Mickiewicz University,,,True
icrs-a-00007,Adelaide University,Adelaide University,Australia,AU,ok,-34.920603,138.6062277,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Adelaide University, Australia",False,,Adelaide University,,,True
icrs-a-00008,Adelphi University,Adelphi University,United States,US,ok,40.7200034,-73.6521126,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Adelphi University, United States",False,,Adelphi University,,,True
icrs-a-00009,Africa Ocean Alliance,Africa Ocean Alliance,Ghana,GH,fallback,5.6037,-0.187,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Africa Ocean Alliance, Ghana",False,,Africa Ocean Alliance,,,True
icrs-a-00010,Alfred Wegener Institute For Marine And Polar Research (awi),Alfred Wegener Institute For Marine And Polar Research (awi),Germany,DE,fallback,52.52,13.405,capital_fallback,1,0,False,True,programme,Alfred Wegener Institute For Marine And Polar Research (awi),False,,Alfred Wegener Institute For Marine And Polar Research (awi),,,True
icrs-a-00011,Alfred Wegener Institute For Marine And Polar Research,Alfred Wegener Institute For Marine And Polar Research,Germany,DE,ok,53.5332554,8.5805155,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Alfred Wegener Institute For Marine And Polar Research, Germany",False,,Alfred Wegener Institute For Marine And Polar Research,,,True
icrs-a-00012,Alligator Head Foundation,Alligator Head Foundation,Jamaica,JM,ok,18.175723,-76.4232605,geocode_csv,1,2,True,True,delegate_list;geocode_csv;programme,"Alligator Head Foundation, Jamaica",False,,Alligator Head Foundation,,,True
icrs-a-00013,Altasea,Altasea,United States,US,ok,33.7222724,-118.2734459,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Altasea, United States",False,,Altasea,,,True
icrs-a-00014,American Samoa Community College & University of Hawaii,American Samoa Community College & University of Hawaii,American Samoa,AS,fallback,-14.2756,-170.702,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"American Samoa Community College & University of Hawaii, American Samoa",False,,American Samoa Community College & University of Hawaii,,,True
icrs-a-00015,American Samoa Government,American Samoa Government,American Samoa,AS,fallback,-14.2756,-170.702,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"American Samoa Government, American Samoa",False,,American Samoa Government,,,True
icrs-a-00016,American University,American University,United States,US,ok,38.9380155,-77.088922,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"American University, United States",False,,American University,,,True
icrs-a-00017,"Aquatic Resources Research Institute, Chualalongkorn","Aquatic Resources Research Institute, Chualalongkorn",Thailand,TH,ok,13.7428052,100.5326187,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Aquatic Resources Research Institute, Chualalongkorn, Thailand",False,,"Aquatic Resources Research Institute, Chualalongkorn",,,True
icrs-a-00018,Arizona State University,"Arizona State University, United States",United States,US,ok,33.4229975,-111.9278306,geocode_csv,2,10,True,True,delegate_list;display_alias;geocode_csv;programme,"Arizona State University; Arizona State University, United States",False,,"Arizona State University, United States",,,True
icrs-a-00019,Atlantic Oceanographic and Meteorological Laboratory,Atlantic Oceanographic and Meteorological Laboratory,United States,US,ok,25.7346912,-80.1621813,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Atlantic Oceanographic and Meteorological Laboratory, United States",False,,Atlantic Oceanographic and Meteorological Laboratory,,,True
icrs-a-00020,Auckland University of Technology,"Auckland University of Technology, New Zealand",New Zealand,NZ,ok,-36.8536098,174.7664805,geocode_csv,2,6,True,True,delegate_list;display_alias;geocode_csv;programme,"Auckland University of Technology; Auckland University of Technology, New Zealand",False,,"Auckland University of Technology, New Zealand",,,True
icrs-a-00021,Australian Institute of Marine Science,Australian Institute of Marine Science,Australia,AU,ok,-19.2678413,147.0555877,geocode_csv,4,41,True,True,delegate_list;display_alias;geocode_csv;programme,"Australian Institute Of Marine Science; Australian Institute Of Marine Science, Australia; Australian Institute of Marine Science; Australian Institute of Marine Science, Australia",False,,Australian Institute of Marine Science,,,True
icrs-a-00022,Australian Institute of Marine Science,Australian Institute of Marine Science,United States,US,fallback,38.9072,-77.0369,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Australian Institute of Marine Science, United States",False,,Australian Institute of Marine Science,,,True
icrs-a-00023,Australian Museum Research Institute,Australian Museum Research Institute,Australia,AU,ok,-33.873917,151.212702,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Australian Museum Research Institute, Australia",False,,Australian Museum Research Institute,,,True
icrs-a-00024,Australian Museum,Australian Museum,Australia,AU,ok,-33.873917,151.212702,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Australian Museum, Australia",False,,Australian Museum,,,True
icrs-a-00025,Auxilia,Auxilia,Italy,IT,fallback,41.9028,12.4964,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Auxilia, Italy",False,,Auxilia,,,True
icrs-a-00026,Bangor University,Bangor University,Maldives,MV,fallback,4.1755,73.5093,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Bangor University, Maldives",False,,Bangor University,,,True
icrs-a-00027,Bar-Ilan University,"Bar-Ilan University, Israel",Israel,IL,ok,32.0691989,34.8430876,geocode_csv,2,4,True,True,delegate_list;display_alias;geocode_csv;programme,"Bar-Ilan University; Bar-Ilan University, Israel",False,,"Bar-Ilan University, Israel",,,True
icrs-a-00028,Ben Gurion University of the Negev,Ben Gurion University of the Negev,Israel,IL,ok,31.261426,34.7995546,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Ben Gurion University of the Negev, Israel",False,,Ben Gurion University of the Negev,,,True
icrs-a-00029,Bergische Universität Wuppertal,"Bergische Universität Wuppertal, Germany",Germany,DE,fallback,52.52,13.405,capital_fallback,4,1,True,True,delegate_list;display_alias;geocode_csv;programme,"Bergische Universitat Wuppertal; Bergische Universitat Wuppertal, Germany; Bergische Universität Wuppertal; Bergische Universität Wuppertal, Germany",False,,"Bergische Universität Wuppertal, Germany",,,True
icrs-a-00030,Bermuda Institute of Ocean Sciences,Bermuda Institute of Ocean Sciences,Bermuda,BM,ok,32.3708572,-64.6961517,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Bermuda Institute of Ocean Sciences, Bermuda",False,,Bermuda Institute of Ocean Sciences,,,True
icrs-a-00031,Bermuda Institute of Ocean Sciences,Bermuda Institute of Ocean Sciences,New Caledonia,NC,fallback,-22.2558,166.4505,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Bermuda Institute of Ocean Sciences, New Caledonia",False,,Bermuda Institute of Ocean Sciences,,,True
icrs-a-00032,"Biodiversity Research Center, Academia Sinica","Biodiversity Research Center, Academia Sinica",Taiwan,TW,fallback,25.033,121.5654,capital_fallback,1,0,False,True,programme,"Biodiversity Research Center,  Academia Sinica",False,,"Biodiversity Research Center, Academia Sinica",,,True
icrs-a-00033,Bloomberg Ocean Fund,Bloomberg Ocean Fund,United States,US,fallback,38.9072,-77.0369,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Bloomberg Ocean Fund, United States",False,,Bloomberg Ocean Fund,,,True
icrs-a-00034,"Blue Alliance Tanzania, United Republic of","Blue Alliance Tanzania, United Republic of",United States,US,fallback,38.9072,-77.0369,capital_fallback,2,1,True,True,delegate_list;geocode_csv;programme,"Blue Alliance Tanzania, United Republic of, United States; University of Hawai‘i - Mānoa, United States",False,,"Blue Alliance Tanzania, United Republic of",,,True
icrs-a-00035,Blue Alliance,Blue Alliance,Barbados,BB,fallback,13.0975,-59.6167,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Blue Alliance, Barbados",False,,Blue Alliance,,,True
icrs-a-00036,Blue Alliance,Blue Alliance,Indonesia,ID,fallback,-6.2088,106.8456,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Blue Alliance, Indonesia",False,,Blue Alliance,,,True
icrs-a-00037,Blue Alliance,Blue Alliance,"Tanzania, United Republic of",TZ,fallback,-6.163,35.7516,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Blue Alliance, Tanzania, United Republic of",False,,Blue Alliance,,,True
icrs-a-00038,Blue Corner Marine Research,Blue Corner Marine Research,Indonesia,ID,ok,-8.666393,115.4488612,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Blue Corner Marine Research, Indonesia",False,,Blue Corner Marine Research,,,True
icrs-a-00039,Blue Prosperity Fiji,Blue Prosperity Fiji,Fiji,FJ,fallback,-18.1416,178.4419,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Blue Prosperity Fiji, Fiji",False,,Blue Prosperity Fiji,,,True
icrs-a-00040,Boston College,Boston College,United States,US,ok,42.3355488,-71.1684945,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Boston College, United States",False,,Boston College,,,True
icrs-a-00041,Boston University,"Boston University, United States",United States,US,ok,42.3504997,-71.1053991,geocode_csv,2,9,True,True,delegate_list;display_alias;geocode_csv;programme,"Boston University; Boston University, United States",False,,"Boston University, United States",,,True
icrs-a-00042,Boxfish Robotics Limited,Boxfish Robotics Limited,New Zealand,NZ,ok,-36.8632518,174.8106441,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Boxfish Robotics Limited, New Zealand",False,,Boxfish Robotics Limited,,,True
icrs-a-00043,Boxfish Robotics,Boxfish Robotics,New Zealand,NZ,ok,-36.8632518,174.8106441,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Boxfish Robotics, New Zealand",False,,Boxfish Robotics,,,True
icrs-a-00044,Bpp,Bpp,United Kingdom,GB,ok,51.4157907,-1.5146646,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Bpp, United Kingdom",False,,Bpp,,,True
